name, units, cds_name, short_name, paramid, fc, an, note

# Data specification for ERA5 global reanalysis
# source: https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation


#-----------------------------------------------------------
# surface and single level parameters: invariants (in time)
#-----------------------------------------------------------

Lake cover,(0 - 1),lake_cover,cl,26,x,x
Lake depth,m,lake_depth,dl,228007,x,x
Low vegetation cover,(0 - 1),low_vegetation_cover,cvl,27,x,
High vegetation cover,(0 - 1),high_vegetation_cover,cvh,28,x,
Type of low vegetation,~,type_of_low_vegetation,tvl,29,x,
Type of high vegetation,~,type_of_high_vegetation,tvh,30,x,
Soil type1,~,soil_type,slt,43,x,
Standard deviation of filtered subgrid orography,m,standard_deviation_of_filtered_subgrid_orography,sdfor,74,x,
Geopotential,m**2 s**-2,geopotential,z,129,x,x
Standard deviation of orography,~,standard_deviation_of_orography,sdor,160,x,
Anisotropy of sub-gridscale orography,~,anisotropy_of_sub_gridscale_orography,isor,161,x,
Angle of sub-gridscale orography,radians,angle_of_sub_gridscale_orography,anor,162,x,
Slope of sub-gridscale orography,~,slope_of_sub_gridscale_orography,slor,163,x,
Land-sea mask,(0 - 1),land_sea_mask,lsm,172,x,x


#----------------------------------------------------
# surface and single level parameters: instantaneous
#----------------------------------------------------

Convective inhibition,J kg**-1,convective_inhibition,cin,228001,,x
Friction velocity,m s**-1,friction_velocity,zust,228003,,x
Lake mix-layer temperature,K,lake_mix_layer_temperature,lmlt,228008,x,x
Lake mix-layer depth,m,lake_mix_layer_depth,lmld,228009,x,x
Lake bottom temperature,K,lake_bottom_temperature,lblt,228010,x,x
Lake total layer temperature,K,lake_total_layer_temperature,ltlt,228011,x,x
Lake shape factor,dimensionless,lake_shape_factor,lshf,228012,x,x
Lake ice temperature,K,lake_ice_temperature,lict,228013,x,x
Lake ice depth,m,lake_ice_depth,licd,228014,x,x
UV visible albedo for direct radiation,(0 - 1),uv_visible_albedo_for_direct_radiation,aluvp,15,x,x
Minimum vertical gradient of refractivity inside trapping layer,m**-1,minimum_vertical_gradient_of_refractivity_inside_trapping_layer,dndzn,228015,,x
UV visible albedo for diffuse radiation,(0 - 1),uv_visible_albedo_for_diffuse_radiation,aluvd,16,x,x
Mean vertical gradient of refractivity inside trapping layer,m**-1,mean_vertical_gradient_of_refractivity_inside_trapping_layer,dndza,228016,,x
Near IR albedo for direct radiation,(0 - 1),near_ir_albedo_for_direct_radiation,alnip,17,x,x
Duct base height,m,duct_base_height,dctb,228017,,x
Near IR albedo for diffuse radiation,(0 - 1),near_ir_albedo_for_diffuse_radiation,alnid,18,x,x
Trapping layer base height,m,trapping_layer_base_height,tplb,228018,,x
Trapping layer top height,m,trapping_layer_top_height,tplt,228019,,x
Cloud base height,m,cloud_base_height,cbh,228023,,x
Zero degree level,m,zero_degree_level,deg0l,228024,,x
Instantaneous 10 metre wind gust,m s**-1,instantaneous_10m_wind_gust,i10fg,228029,,x
Sea ice area fraction,(0 - 1),sea-ice_cover,ci,31,x,x
Snow albedo,(0 - 1),snow_albedo,asn,32,x,x
Snow density,kg m**-3,snow_density,rsn,33,x,x
Sea surface temperature,K,sea_surface_temperature,sst,34,x,x
Ice temperature layer 1,K,ice_temperature_layer_1,istl1,35,x,x
Ice temperature layer 2,K,ice_temperature_layer_2,istl2,36,x,x
Ice temperature layer 3,K,ice_temperature_layer_3,istl3,37,x,x
Ice temperature layer 4,K,ice_temperature_layer_4,istl4,38,x,x
Volumetric soil water layer 11,m**3 m**-3,volumetric_soil_water_layer_1,swvl1,39,x,x
Volumetric soil water layer 21,m**3 m**-3,volumetric_soil_water_layer_2,swvl2,40,x,x
Volumetric soil water layer 31,m**3 m**-3,volumetric_soil_water_layer_3,swvl3,41,x,x
Volumetric soil water layer 41,m**3 m**-3,volumetric_soil_water_layer_4,swvl4,42,x,x
Convective available potential energy,J kg**-1,convective_available_potential_energy,cape,59,x,x
"Leaf area index, low vegetation3",m**2 m**-2,leaf_area_index_low_vegetation,lai_lv,66,x,x
"Leaf area index, high vegetation3",m**2 m**-2,leaf_area_index_high_vegetation,lai_hv,67,x,x
Neutral wind at 10 m u-component,m s**-1,10m_u_component_of_neutral_wind,u10n,228131,x,x
Neutral wind at 10 m v-component,m s**-1,10m_v_component_of_neutral_wind,v10n,228132,x,x
Surface pressure,Pa,surface_pressure,sp,134,x,x
Soil temperature level 11,K,soil_temperature_level_1,stl1,139,x,x
Snow depth,m of water equivalent,snow_depth,sd,141,x,x
Charnock,~,charnock,chnk,148,x,x
Mean sea level pressure,Pa,mean_sea_level_pressure,msl,151,x,x
Boundary layer height,m,boundary_layer_height,blh,159,x,x
Total cloud cover,(0 - 1),total_cloud_cover,tcc,164,x,x
10 metre U wind component,m s**-1,10m_u_component_of_wind,u10,165,x,x
10 metre V wind component,m s**-1,10m_v_component_of_wind,v10,166,x,x
2 metre temperature,K,2m_temperature,2t,167,x,x
2 metre dewpoint temperature,K,2m_dewpoint_temperature,2d,168,x,x
Soil temperature level 21,K,soil_temperature_level_2,stl2,170,x,x
Soil temperature level 31,K,soil_temperature_level_3,stl3,183,x,x
Low cloud cover,(0 - 1),low_cloud_cover,lcc,186,x,x
Medium cloud cover,(0 - 1),medium_cloud_cover,mcc,187,x,x
High cloud cover,(0 - 1),high_cloud_cover,hcc,188,x,x
Skin reservoir content,m of water equivalent,skin_reservoir_content,src,198,x,x
Instantaneous large-scale surface precipitation fraction,(0 - 1),instantaneous_large_scale_surface_precipitation_fraction,ilspf,228217,,x
Convective rain rate,kg m**-2 s**-1,convective_rain_rate,crr,228218,,x
Large scale rain rate,kg m**-2 s**-1,large_scale_rain_rate,lsrr,228219,,x
Convective snowfall rate water equivalent,kg m**-2 s**-1,convective_snowfall_rate_water_equivalent,csfr,228220,,x
Large scale snowfall rate water equivalent,kg m**-2 s**-1,large_scale_snowfall_rate_water_equivalent,lssfr,228221,,x
Instantaneous eastward turbulent surface stress,N m**-2,instantaneous_eastward_turbulent_surface_stress,iews,229,x,x
Instantaneous northward turbulent surface stress,N m**-2,instantaneous_northward_turbulent_surface_stress,inss,230,x,x
Instantaneous surface sensible heat flux,W m**-2,instantaneous_surface_sensible_heat_flux,ishf,231,x,x
Instantaneous moisture flux,kg m**-2 s**-1,instantaneous_moisture_flux,ie,232,x,x
Skin temperature,K,skin_temperature,skt,235,x,x
Soil temperature level 41,K,soil_temperature_level_4,stl4,236,x,x
Temperature of snow layer,K,temperature_of_snow_layer,tsn,238,x,x
Forecast albedo,(0 - 1),forecast_albedo,fal,243,x,x
Forecast surface roughness,m,forecast_surface_roughness,fsr,244,x,x
Forecast logarithm of surface roughness for heat,~,forecast_logarithm_of_surface_roughness_for_heat,flsr,245,x,x
100 metre U wind component,m s**-1,100m_u-component_of_wind,100u,228246,x,x
100 metre V wind component,m s**-1,100m_v-component_of_wind,100v,228247,x,x
Precipitation type2,code table (4.201),precipitation_type,ptype,260015,,x
K index2,K,k_index,kx,260121,,x
Total totals index2,K,total_totals_index,totalx,260123,,x


#----------------------------------------------------
# surface and single level parameters: accumulations
#----------------------------------------------------

Large-scale precipitation fraction,s,large_scale_precipitation_fraction,lspf,50,,x
Downward UV radiation at the surface,J m**-2,downward_uv_radiation_at_the_surface,uvb,57,,x
Boundary layer dissipation,J m**-2,boundary_layer_dissipation,bld,145,,x
Surface sensible heat flux,J m**-2,surface_sensible_heat_flux,sshf,146,,x
Surface latent heat flux,J m**-2,surface_latent_heat_flux,slhf,147,,x
Surface solar radiation downwards,J m**-2,surface_solar_radiation_downwards,ssrd,169,,x
Surface thermal radiation downwards,J m**-2,surface_thermal_radiation_downwards,strd,175,,x
Surface net solar radiation,J m**-2,surface_net_solar_radiation,ssr,176,,x
Surface net thermal radiation,J m**-2,surface_net_thermal_radiation,str,177,,x
Top net solar radiation,J m**-2,top_net_solar_radiation,tsr,178,,x
Top net thermal radiation,J m**-2,top_net_thermal_radiation,ttr,179,,x
Eastward turbulent surface stress,N m**-2 s,eastward_turbulent_surface_stress,ewss,180,,x
Northward turbulent surface stress,N m**-2 s,northward_turbulent_surface_stress,nsss,181,,x
Eastward gravity wave surface stress,N m**-2 s,eastward_gravity_wave_surface_stress,lgws,195,,x
Northward gravity wave surface stress,N m**-2 s,northward_gravity_wave_surface_stress,mgws,196,,x
Gravity wave dissipation,J m**-2,gravity_wave_dissipation,gwd,197,,x
"Top net solar radiation, clear sky",J m**-2,top_net_solar_radiation_clear_sky,tsrc,208,,x
"Top net thermal radiation, clear sky",J m**-2,top_net_thermal_radiation_clear_sky,ttrc,209,,x
"Surface net solar radiation, clear sky",J m**-2,surface_net_solar_radiation_clear_sky,ssrc,210,,x
"Surface net thermal radiation, clear sky",J m**-2,surface_net_thermal_radiation_clear_sky,strc,211,,x
TOA incident solar radiation,J m**-2,toa_incident_solar_radiation,tisr,212,,x
Vertically integrated moisture divergence,kg m**-2,vertically_integrated_moisture_divergence,vimd,213,,x
Total sky direct solar radiation at surface,J m**-2,total_sky_direct_solar_radiation_at_surface,fdir,228021,,x
Clear-sky direct solar radiation at surface,J m**-2,clear_sky_direct_solar_radiation_at_surface,cdir,228022,,x
Surface solar radiation downward clear-sky,J m**-2,surface_solar_radiation_downward_clear_sky,ssrdc,228129,,x
Surface thermal radiation downward clear-sky,J m**-2,surface_thermal_radiation_downward_clear_sky,strdc,228130,,x
Surface runoff,m,surface_runoff,sro,8,,x
Sub-surface runoff,m,sub_surface_runoff,ssro,9,,x
Snow evaporation,m of water equivalent,snow_evaporation,es,44,,x
Snowmelt,m of water equivalent,snowmelt,smlt,45,,x
Large-scale precipitation,m,large_scale_precipitation,lsp,142,,x
Convective precipitation,m,convective_precipitation,cp,143,,x
Snowfall,m of water equivalent,snowfall,sf,144,,x
Evaporation,m of water equivalent,evaporation,e,182,,x
Runoff,m,runoff,ro,205,,x
Total precipitation,m,total_precipitation,tp,228,,x
Convective snowfall,m of water equivalent,convective_snowfall,csf,239,,x
Large-scale snowfall,m of water equivalent,large_scale_snowfall,lsf,240,,x
Potential evaporation,m,potential_evaporation,pev,228251,,x


#--------------------------------------------------------
# surface and single level parameters: mean rates/fluxes
#--------------------------------------------------------

Mean surface runoff rate,kg m**-2 s**-1,mean_surface_runoff_rate,msror,235020,,x
Mean sub-surface runoff rate,kg m**-2 s**-1,mean_sub_surface_runoff_rate,mssror,235021,,x
Mean snow evaporation rate,kg m**-2 s**-1,mean_snow_evaporation_rate,mser,235023,,x
Mean snowmelt rate,kg m**-2 s**-1,mean_snowmelt_rate,msmr,235024,,x
Mean large-scale precipitation fraction,Proportion,mean_large_scale_precipitation_fraction,mlspf,235026,,x
Mean surface downward UV radiation flux,W m**-2,mean_surface_downward_uv_radiation_flux,msdwuvrf,235027,,x
Mean large-scale precipitation rate,kg m**-2 s**-1,mean_large_scale_precipitation_rate,mlspr,235029,,x
Mean convective precipitation rate,kg m**-2 s**-1,mean_convective_precipitation_rate,mcpr,235030,,x
Mean snowfall rate,kg m**-2 s**-1,mean_snowfall_rate,msr,235031,,x
Mean boundary layer dissipation,W m**-2,mean_boundary_layer_dissipation,mbld,235032,,x
Mean surface sensible heat flux,W m**-2,mean_surface_sensible_heat_flux,msshf,235033,,x
Mean surface latent heat flux,W m**-2,mean_surface_latent_heat_flux,mslhf,235034,,x
Mean surface downward short-wave radiation flux,W m**-2,mean_surface_downward_short_wave_radiation_flux,msdwswrf,235035,,x
Mean surface downward long-wave radiation flux,W m**-2,mean_surface_downward_long_wave_radiation_flux,msdwlwrf,235036,,x
Mean surface net short-wave radiation flux,W m**-2,mean_surface_net_short_wave_radiation_flux,msnswrf,235037,,x
Mean surface net long-wave radiation flux,W m**-2,mean_surface_net_long_wave_radiation_flux,msnlwrf,235038,,x
Mean top net short-wave radiation flux,W m**-2,mean_top_net_short_wave_radiation_flux,mtnswrf,235039,,x
Mean top net long-wave radiation flux,W m**-2,mean_top_net_long_wave_radiation_flux,mtnlwrf,235040,,x
Mean eastward turbulent surface stress,N m**-2,mean_eastward_turbulent_surface_stress,metss,235041,,x
Mean northward turbulent surface stress,N m**-2,mean_northward_turbulent_surface_stress,mntss,235042,,x
Mean evaporation rate,kg m**-2 s**-1,mean_evaporation_rate,mer,235043,,x
Mean eastward gravity wave surface stress,N m**-2,mean_eastward_gravity_wave_surface_stress,megwss,235045,,x
Mean northward gravity wave surface stress,N m**-2,mean_northward_gravity_wave_surface_stress,mngwss,235046,,x
Mean gravity wave dissipation,W m**-2,mean_gravity_wave_dissipation,mgwd,235047,,x
Mean runoff rate,kg m**-2 s**-1,mean_runoff_rate,mror,235048,,x
"Mean top net short-wave radiation flux, clear sky",W m**-2,mean_top_net_short_wave_radiation_flux_clear_sky,mtnswrfcs,235049,,x
"Mean top net long-wave radiation flux, clear sky",W m**-2,mean_top_net_long_wave_radiation_flux_clear_sky,mtnlwrfcs,235050,,x
"Mean surface net short-wave radiation flux, clear sky",W m**-2,mean_surface_net_short_wave_radiation_flux_clear_sky,msnswrfcs,235051,,x
"Mean surface net long-wave radiation flux, clear sky",W m**-2,mean_surface_net_long_wave_radiation_flux_clear_sky,msnlwrfcs,235052,,x
Mean top downward short-wave radiation flux,W m**-2,mean_top_downward_short_wave_radiation_flux,mtdwswrf,235053,,x
