

VARIABLE,                   CAMS,           ERA5,           MERRA2,         DESCRIPTION,
----------------------------------------------------------------------------------------------------------------
temp_10m,                   ,               ,               T10M,           temperature at 10m,
wind_10u,                   u10,            u10,            U10M,           u wind at 10m,
wind_10v,                   v10,            v10,            V10M,           v wind at 10m,
surf_wind,                  #windspeed,     #windspeed,     SPEED,          surface wind speed,
planetary_bound,            m,              m,              PBLH,           planetary boundary layer height,
surf_pressure,              sp,             sp,             PS,             surface pressure, 
sea_level_pressure,         msl,            msl,            SLP,            sea level pressure,
ozone,                      gtco3,          tco3,           TO3,            total column ozone,
water_vapor,                tcwv,           tcwv,           TQV,            total column water_vapor,
aod_469nm,                  aod469,         ,               ,               total aerosol optical depth 469nm,
aod_550nm,                  aod550,         ,               TOTEXTTAU,      total aerosol optical depth 550nm,
aod_670nm,                  aod670,         ,               ,               total aerosol optical depth 670nm,
angstr_coef_550nm,          #totangstr,     ,               TOTANGSTR,      total aerosol angstrom coefficient 550nm, 
dust_aod_550nm,             duaod550,       ,               DUEXTTAU,       dust aerosol optical depth 550nm,
organic_carbon_aod_550nm,   omaod550,       ,               OCEXTTAU,       organic carbon aerosol optical depth 550nm,
black_carbon_aod_550nm,     bcaod550,       ,               BCEXTTAU,       black carbon aerosol optical depth 550nm,
sea_salt_aod_550nm,         ssaod550,       ,               SSEXTTAU,       sea salt aerosol optical depth 550nm,
sulfate_aod_550nm,          suaod550,       ,               SUEXTTAU,       sulfate aerosol optical depth 550nm,
cloud_cov,                  tcc,            tcc,            CLDTOT,         total cloud cover,
low_cloud_cov,              lcc,            lcc,            CLDLOW,         low cloud cover,
mid_cloud_cov,              mcc,            mcc,            CLDMID,         mid cloud cover,
hig_cloud_cov,              hcc,            hcc,            CLDHGH,         high cloud cover,
cloud_od,                   ,               ,               TAUTOT,         total cloud optical depth,
low_cloud_od,               ,               ,               TAULOW,         low cloud optical depth,
mid_cloud_od,               ,               ,               TAUMID,         mid cloud optical depth,
hig_cloud_od,               ,               ,               TAUHGH,         high cloud optical depth,
cloud_ice_wat,              tciw,           tciw,           ,               total column cloud ice water,            
cloud_liq_wat,              tclw,           tclw,           ,               total column cloud liquid water,
ozone_mass_mixing_ratio,    ,               o3,             ,               ozone mass mixing ratio,
specific_humidity,          ,               q,              ,               specific humidity,
temperature,                ,               t,              ,               temperature,    
